,COMPANY_ID,predicted_refund_risk,recommended_collateral_pct
67,54d12e4d906081f57d000050,0.3159584,0.1
68,54d1356dc2552b0e93000203,0.61570334,0.30000000000000004
69,54d27624f2153c8bfc00020d,0.58724624,0.5
70,54d290f7582733b1cd000274,0.71714747,0.5
71,54d2a47da560760637000077,0.20804295,0.1
72,54d5852e070ef6c469000166,0.715207,0.5
73,54d908beaec9d51b64000090,0.7248555,0.45
74,54d9409bb73f8e02740000d3,0.9961331,0.5
75,54da6c16d325cad11f000079,0.14146942,0.1
76,54db93689ac8751273000055,0.6745499,0.4
77,54dbc20d9b85816e090000c4,0.29121524,0.1
79,54dd1c37766e6b2822000096,0.5014619,0.2
80,54de3c494259ef3ff200007f,0.5944852,0.30000000000000004
82,54e5028fa6c831d77d000150,0.060218107,0.1
83,54e62ce8b46fe7e68c00004f,0.13020888,0.1
84,54e77e2fe2c7aaa63900004e,0.43717882,0.15000000000000002
85,54e79b0b9152718657000069,0.6314688,0.35000000000000003
86,54e8b05d9152718657000139,0.24027573,0.1
87,54e9ce1a630a58383f00004b,0.05377636,0.1
88,54eb727b37dddfadc800007f,0.07371123,0.1
89,54eb867d442339791100005d,0.7173574,0.5
90,54ecd39f70cac28b2c0000cf,0.39654765,0.1
91,54ecf2d470cac28b2c000163,0.5319626,0.25
92,54ecfb398518b4f331000069,0.08362943,0.1
93,54ee22b28eb896bb5c0000ca,0.23772253,0.1
94,54ee26a8dda598373d00011e,0.44946033,0.15000000000000002
95,54ef8d6299bfdac8bc000101,0.32933456,0.1
96,54efb2599e561998ae000078,0.14925441,0.1
97,54efbf942761fd4a340000be,0.6316245,0.4
98,54f0a983bc2e8a203d0000b5,0.6684091,0.4
99,54f0d4356d2e0b97c800006f,0.10835907,0.1
100,54f0f54f499bd5391e0000dd,0.14538495,0.1
101,54f284bac0d5e013460000cd,0.637481,0.5
102,54f3c41e0ace6b8c330000a1,0.17751622,0.1
103,54f5fb67d1c97496a800007c,0.40999627,0.5
105,54f783af0c59e664700000bf,0.40445247,0.1
106,54f893e2f4ea6859390000b3,0.3989203,0.1
108,54f8941ff4ea683c01000107,0.38306674,0.1
109,54f897e8f4ea68a6ea0000a3,0.63699263,0.35000000000000003
110,54f8ccc6d42f510abe00007a,0.45155916,0.15000000000000002
112,54f9ebde2640c005a000004c,0.5826888,0.30000000000000004
113,54fdbf00429b6c6fea000058,0.9463469,0.5
114,54fe030970980380bd0000dc,0.15276967,0.1
115,54fe10a9429b6c2b2b0000bb,0.4162669,0.15000000000000002
116,54ff16f465f3e2ada2000083,0.6890836,0.4
117,54ff550965f3e2de69000052,0.39511114,0.1
118,55008a7d44f1ff21490000b7,0.40515602,0.1
122,55020db2c546ee5a930000b1,0.40403622,0.5
123,550311f619e8e0db8800004e,0.16194955,0.1
124,550337c688109cb6bc000158,0.5215833,0.2
125,550358ad9f9c201d57000066,0.22451861,0.1
126,55037f80ca29510365000124,0.73916227,0.45
127,550729336db1510286000049,0.08230387,0.1
128,55075a21f45085b4ef0001f8,0.40113366,0.1
129,55076378f45085276c0001a6,0.70254076,0.5
130,55086bbc4d6972bac50000d9,0.16521208,0.1
131,5509a1e852bec2aad9000066,0.14178051,0.1
132,5509ca25ec1079f97e00009f,0.2346728,0.1
133,5509dafd8cfd7ac61a0000c5,0.97978985,0.5
134,550a9c38b3752f26f0000049,0.5280503,0.25
135,550b2fd563d94e999b000109,0.21817984,0.1
136,550b43037cd979e1c100008c,0.3706002,0.1
137,550c50601a3f8753a00000a7,0.15698406,0.1
138,550c5e4b1a3f878b6e0000a7,0.2156188,0.1
139,550c60dce823d0c707000102,0.40605977,0.5
140,55118a7623da14c5ba000062,0.9665521,0.5
141,5511baab6f68893bf400010c,0.12453435,0.1
142,5511f6c16f68897c2800004b,0.20734982,0.1
